"ID_FlightType","Flight_Type","Flight_status"
"F1","International","Annulé"
"F2","International","Annulé"
"F3","International","Annulé"
"F4","International","à l heure"
"F5","International","Retardé"
"F6","International","à l heure"
"F7","International","Retardé"
"F8","International","Retardé"
"F9","International","Retardé"
"F10","International","Annulé"
"F11","International","Annulé"
"F12","International","Retardé"
"F13","International","Retardé"
"F14","International","Retardé"
"F15","International","Retardé"
"F16","International","à l heure"
"F17","International","Retardé"
"F18","International","Annulé"
"F19","International","Annulé"
"F20","National","Annulé"
"F21","International","Annulé"
"F22","International","Retardé"
"F23","International","Retardé"
"F24","International","Annulé"
"F25","International","Retardé"
"F26","International","Annulé"
"F27","International","Annulé"
"F28","International","Annulé"
"F29","International","Retardé"
"F30","International","Retardé"
"F31","International","Retardé"
"F32","International","Annulé"
"F33","International","Annulé"
"F34","International","Retardé"
"F35","International","Retardé"
"F36","International","Annulé"
"F37","International","Annulé"
"F38","International","Annulé"
"F39","International","Retardé"
"F40","International","Retardé"
"F41","International","Retardé"
"F42","International","Retardé"
"F43","International","Annulé"
"F44","International","à l heure"
"F45","International","Annulé"
"F46","International","Retardé"
"F47","International","Retardé"
"F48","International","Annulé"
"F49","International","Retardé"
"F50","International","à l heure"
"F51","International","à l heure"
"F52","International","Annulé"
"F53","International","à l heure"
"F54","International","Annulé"
"F55","International","Annulé"
"F56","International","Retardé"
"F57","International","Retardé"
"F58","International","Retardé"
"F59","International","Annulé"
"F60","International","Annulé"
"F61","International","à l heure"
"F62","International","Annulé"
"F63","International","Retardé"
"F64","International","Annulé"
"F65","International","Retardé"
"F66","International","Retardé"
"F67","International","Retardé"
"F68","International","Annulé"
"F69","International","Annulé"
"F70","International","Retardé"
"F71","International","Annulé"
"F72","National","Retardé"
"F73","International","Annulé"
"F74","International","Annulé"
"F75","International","Retardé"
"F76","International","Annulé"
"F77","International","Annulé"
"F78","International","Retardé"
"F79","International","Annulé"
"F80","International","Annulé"
"F81","International","Annulé"
"F82","International","Annulé"
"F83","International","Retardé"
"F84","International","Retardé"
"F85","International","Annulé"
"F86","International","Annulé"
"F87","National","à l heure"
"F88","International","Retardé"
"F89","International","Retardé"
"F90","International","Annulé"
"F91","International","Annulé"
"F92","International","Retardé"
"F93","International","Annulé"
"F94","International","Retardé"
"F95","International","Annulé"
"F96","International","Annulé"
"F97","International","Annulé"
"F98","International","Annulé"
"F99","International","Retardé"
"F100","International","à l heure"
"F101","International","Annulé"
"F102","International","Retardé"
"F103","International","Annulé"
"F104","International","à l heure"
"F105","International","Retardé"
"F106","International","Retardé"
"F107","International","Annulé"
"F108","International","Annulé"
"F109","International","Retardé"
"F110","International","Annulé"
"F111","International","Retardé"
"F112","National","à l heure"
"F113","International","Annulé"
"F114","International","Retardé"
"F115","International","Annulé"
"F116","International","Annulé"
"F117","International","Annulé"
"F118","International","Retardé"
"F119","International","Retardé"
"F120","National","à l heure"
"F121","International","Annulé"
"F122","International","Annulé"
"F123","International","Retardé"
"F124","International","Retardé"
"F125","International","Retardé"
"F126","International","à l heure"
"F127","International","Annulé"
"F128","International","Annulé"
"F129","International","Annulé"
"F130","National","Annulé"
"F131","International","Retardé"
"F132","International","Retardé"
"F133","International","Annulé"
"F134","International","Annulé"
"F135","International","Annulé"
"F136","International","Retardé"
"F137","International","Annulé"
"F138","International","Annulé"
"F139","International","Annulé"
"F140","International","Annulé"
"F141","International","Annulé"
"F142","International","Annulé"
"F143","International","à l heure"
"F144","International","Annulé"
"F145","International","Annulé"
"F146","International","Annulé"
"F147","International","Annulé"
"F148","International","Annulé"
"F149","International","Annulé"
"F150","International","Annulé"
"F151","International","Annulé"
"F152","International","Annulé"
"F153","International","Retardé"
"F154","International","Annulé"
"F155","International","Annulé"
"F156","International","Annulé"
"F157","International","Retardé"
"F158","International","Annulé"
"F159","International","Annulé"
"F160","International","Annulé"
"F161","International","Retardé"
"F162","International","Retardé"
"F163","International","Retardé"
"F164","International","Retardé"
"F165","International","Annulé"
"F166","International","Annulé"
"F167","International","à l heure"
"F168","International","Annulé"
"F169","International","à l heure"
"F170","International","à l heure"
"F171","International","Retardé"
"F172","International","Retardé"
"F173","International","Annulé"
"F174","International","Retardé"
"F175","International","à l heure"
"F176","International","Annulé"
"F177","International","Retardé"
"F178","International","Annulé"
"F179","International","à l heure"
"F180","International","Retardé"
"F181","International","Annulé"
"F182","International","Annulé"
"F183","International","Retardé"
"F184","International","Retardé"
"F185","International","Retardé"
"F186","International","à l heure"
"F187","International","Annulé"
"F188","International","Retardé"
"F189","International","Retardé"
"F190","International","Annulé"
"F191","International","Annulé"
"F192","International","Retardé"
"F193","International","Retardé"
"F194","International","Annulé"
"F195","International","Retardé"
"F196","International","Annulé"
"F197","International","Annulé"
"F198","National","Annulé"
"F199","International","Retardé"
"F200","International","Retardé"
"F201","International","Retardé"
"F202","International","Annulé"
"F203","National","à l heure"
"F204","International","Retardé"
"F205","International","Retardé"
"F206","International","Annulé"
"F207","International","Annulé"
"F208","International","Annulé"
"F209","International","Annulé"
"F210","International","à l heure"
"F211","International","Annulé"
"F212","International","Annulé"
"F213","International","Retardé"
"F214","International","Annulé"
"F215","International","Retardé"
"F216","International","à l heure"
"F217","International","à l heure"
"F218","National","Annulé"
"F219","International","Annulé"
"F220","International","Retardé"
"F221","International","Annulé"
"F222","International","Annulé"
"F223","International","Annulé"
"F224","International","Annulé"
"F225","International","Annulé"
"F226","International","Annulé"
"F227","International","Retardé"
"F228","International","à l heure"
"F229","International","Retardé"
"F230","International","Retardé"
"F231","International","Retardé"
"F232","International","Annulé"
"F233","International","Retardé"
"F234","International","Retardé"
"F235","International","Annulé"
"F236","International","Retardé"
"F237","International","Annulé"
"F238","International","Retardé"
"F239","International","Annulé"
"F240","International","Retardé"
"F241","International","Retardé"
"F242","International","Retardé"
"F243","International","Retardé"
"F244","International","Retardé"
"F245","International","Retardé"
"F246","International","à l heure"
"F247","International","Annulé"
"F248","International","Retardé"
"F249","International","à l heure"
"F250","International","Annulé"
"F251","International","Retardé"
"F252","International","à l heure"
"F253","International","Annulé"
"F254","National","Annulé"
"F255","International","Retardé"
"F256","International","Retardé"
"F257","International","Retardé"
"F258","International","Annulé"
"F259","National","à l heure"
"F260","International","Annulé"
"F261","International","Annulé"
"F262","National","Annulé"
"F263","International","Retardé"
"F264","International","Annulé"
"F265","International","Retardé"
"F266","International","Annulé"
"F267","International","à l heure"
"F268","International","Annulé"
"F269","International","Retardé"
"F270","International","à l heure"
"F271","International","à l heure"
"F272","International","Retardé"
"F273","International","Annulé"
"F274","International","Annulé"
"F275","International","Retardé"
"F276","International","Retardé"
"F277","International","Annulé"
"F278","International","Retardé"
"F279","International","Annulé"
"F280","International","Retardé"
"F281","International","à l heure"
"F282","International","Retardé"
"F283","International","Annulé"
"F284","International","Retardé"
"F285","International","Retardé"
"F286","International","Annulé"
"F287","International","Retardé"
"F288","International","Annulé"
"F289","International","Retardé"
"F290","International","Retardé"
"F291","International","Retardé"
"F292","International","Annulé"
"F293","International","Annulé"
"F294","International","Retardé"
"F295","International","Annulé"
"F296","International","Annulé"
"F297","International","à l heure"
"F298","International","Retardé"
"F299","National","Annulé"
"F300","International","Retardé"
"F301","International","Retardé"
"F302","International","Annulé"
"F303","International","à l heure"
"F304","International","Retardé"
"F305","International","Annulé"
"F306","International","Annulé"
"F307","International","Annulé"
"F308","International","Retardé"
"F309","International","Annulé"
"F310","National","à l heure"
"F311","International","Annulé"
"F312","International","Annulé"
"F313","International","Retardé"
"F314","International","Retardé"
"F315","International","Annulé"
"F316","International","Annulé"
"F317","International","à l heure"
"F318","National","Annulé"
"F319","International","Retardé"
"F320","International","Annulé"
"F321","International","Annulé"
"F322","International","Retardé"
"F323","International","Annulé"
"F324","International","Retardé"
"F325","International","Retardé"
"F326","International","Retardé"
"F327","International","à l heure"
"F328","International","Annulé"
"F329","International","Retardé"
"F330","International","Annulé"
"F331","International","Annulé"
"F332","International","Retardé"
"F333","International","Retardé"
"F334","International","Annulé"
"F335","International","Retardé"
"F336","International","Annulé"
"F337","International","Retardé"
"F338","International","Annulé"
"F339","International","Retardé"
"F340","International","Annulé"
"F341","International","Retardé"
"F342","International","Annulé"
"F343","International","Annulé"
"F344","International","à l heure"
"F345","International","Annulé"
"F346","International","Retardé"
"F347","International","Retardé"
"F348","International","à l heure"
"F349","International","Annulé"
"F350","International","Annulé"
"F351","International","Retardé"
"F352","International","Retardé"
"F353","International","Retardé"
"F354","International","Retardé"
"F355","National","Retardé"
"F356","International","Retardé"
"F357","International","Annulé"
"F358","National","Annulé"
"F359","International","Annulé"
"F360","International","Annulé"
"F361","International","à l heure"
"F362","International","Retardé"
"F363","International","Retardé"
"F364","International","Annulé"
"F365","International","à l heure"
"F366","International","Annulé"
"F367","International","Retardé"
"F368","International","Annulé"
"F369","International","Retardé"
"F370","International","Annulé"
"F371","International","à l heure"
"F372","International","Annulé"
"F373","International","Retardé"
"F374","International","Annulé"
"F375","International","Retardé"
"F376","International","Retardé"
"F377","International","Annulé"
"F378","International","Annulé"
"F379","International","Retardé"
"F380","International","Annulé"
"F381","International","Annulé"
"F382","International","Annulé"
"F383","International","Annulé"
"F384","International","Annulé"
"F385","International","Retardé"
"F386","International","Retardé"
"F387","International","Annulé"
"F388","International","Annulé"
"F389","International","Annulé"
"F390","International","Annulé"
"F391","International","Annulé"
"F392","International","à l heure"
"F393","International","Retardé"
"F394","National","Annulé"
"F395","National","Annulé"
"F396","International","Retardé"
"F397","International","Annulé"
"F398","International","à l heure"
"F399","International","Annulé"
"F400","International","Annulé"
"F401","International","Annulé"
"F402","International","Annulé"
"F403","International","Annulé"
"F404","National","à l heure"
"F405","International","Annulé"
"F406","International","Retardé"
"F407","International","à l heure"
"F408","International","Annulé"
"F409","International","Annulé"
"F410","International","Retardé"
"F411","International","Retardé"
"F412","International","Annulé"
"F413","International","Retardé"
"F414","International","Annulé"
"F415","International","Annulé"
"F416","International","à l heure"
"F417","International","à l heure"
"F418","International","à l heure"
"F419","National","Annulé"
"F420","International","Annulé"
"F421","International","Retardé"
"F422","International","Annulé"
"F423","International","Annulé"
"F424","International","à l heure"
"F425","International","Annulé"
"F426","International","Retardé"
"F427","National","Annulé"
"F428","International","Annulé"
"F429","International","Annulé"
"F430","International","Annulé"
"F431","International","Annulé"
"F432","International","Retardé"
"F433","International","Retardé"
"F434","International","Annulé"
"F435","International","Retardé"
"F436","International","Retardé"
"F437","International","Annulé"
"F438","International","Retardé"
"F439","International","Annulé"
"F440","International","Annulé"
"F441","International","Annulé"
"F442","International","Annulé"
"F443","International","Retardé"
"F444","International","Retardé"
"F445","International","Annulé"
"F446","International","Retardé"
"F447","International","à l heure"
"F448","International","à l heure"
"F449","International","Annulé"
"F450","National","à l heure"
"F451","International","Annulé"
"F452","International","Retardé"
"F453","International","à l heure"
"F454","International","Annulé"
"F455","International","Annulé"
"F456","International","Annulé"
"F457","International","Retardé"
"F458","International","Annulé"
"F459","International","à l heure"
"F460","International","Retardé"
"F461","International","Annulé"
"F462","National","Retardé"
"F463","International","Retardé"
"F464","International","Retardé"
"F465","International","Retardé"
"F466","International","Retardé"
"F467","International","Annulé"
"F468","International","Retardé"
"F469","International","Annulé"
"F470","International","Retardé"
"F471","International","Annulé"
"F472","International","Annulé"
"F473","International","Retardé"
"F474","International","Annulé"
"F475","International","Retardé"
"F476","International","Annulé"
"F477","International","Annulé"
"F478","International","Annulé"
"F479","International","Annulé"
"F480","International","Annulé"
"F481","International","Retardé"
"F482","International","Retardé"
"F483","International","Annulé"
"F484","International","Retardé"
"F485","International","Annulé"
"F486","International","à l heure"
"F487","International","Annulé"
"F488","International","à l heure"
"F489","International","Annulé"
"F490","International","Annulé"
"F491","International","à l heure"
"F492","International","Annulé"
"F493","International","Annulé"
"F494","International","à l heure"
"F495","International","Retardé"
"F496","International","Retardé"
"F497","International","Annulé"
"F498","International","Annulé"
"F499","International","Retardé"
"F500","International","Annulé"
"F501","National","Annulé"
"F502","International","Annulé"
"F503","International","Annulé"
"F504","International","Retardé"
"F505","International","Retardé"
"F506","International","Annulé"
"F507","International","Retardé"
"F508","International","Annulé"
"F509","International","Retardé"
"F510","International","à l heure"
"F511","International","Retardé"
"F512","International","Retardé"
"F513","International","Annulé"
"F514","International","Annulé"
"F515","International","Retardé"
"F516","International","Retardé"
"F517","International","Annulé"
"F518","International","Annulé"
"F519","International","Annulé"
"F520","International","Annulé"
"F521","International","Retardé"
"F522","International","Annulé"
"F523","International","Retardé"
"F524","International","Retardé"
"F525","International","Annulé"
"F526","International","Retardé"
"F527","International","Retardé"
"F528","International","Retardé"
"F529","International","à l heure"
"F530","International","Retardé"
"F531","International","Annulé"
"F532","International","Retardé"
"F533","International","Annulé"
"F534","International","Retardé"
"F535","International","à l heure"
"F536","International","Annulé"
"F537","International","Annulé"
"F538","International","Retardé"
"F539","International","Retardé"
"F540","International","à l heure"
"F541","International","Annulé"
"F542","International","à l heure"
"F543","International","Retardé"
"F544","International","Retardé"
"F545","International","Annulé"
"F546","International","à l heure"
"F547","International","Annulé"
"F548","International","Annulé"
"F549","International","Retardé"
"F550","International","Annulé"
"F551","International","Retardé"
"F552","International","Annulé"
"F553","International","à l heure"
"F554","International","Retardé"
"F555","International","Retardé"
"F556","International","Annulé"
"F557","International","Annulé"
"F558","International","Retardé"
"F559","International","Annulé"
"F560","International","Retardé"
"F561","International","Annulé"
"F562","International","à l heure"
"F563","International","Annulé"
"F564","International","à l heure"
"F565","International","à l heure"
"F566","International","Retardé"
"F567","International","Retardé"
"F568","International","Annulé"
"F569","International","Annulé"
"F570","International","Retardé"
"F571","International","Retardé"
"F572","International","Annulé"
"F573","International","Retardé"
"F574","International","Annulé"
"F575","International","Annulé"
"F576","International","Retardé"
"F577","International","Annulé"
"F578","International","Annulé"
"F579","International","Annulé"
"F580","International","Annulé"
"F581","International","Retardé"
"F582","International","Annulé"
"F583","International","à l heure"
"F584","International","Annulé"
"F585","International","Retardé"
"F586","International","Annulé"
"F587","International","Annulé"
"F588","International","Annulé"
"F589","International","Annulé"
"F590","International","Annulé"
"F591","International","Annulé"
"F592","International","Annulé"
"F593","National","Annulé"
"F594","International","à l heure"
"F595","International","Annulé"
"F596","International","à l heure"
"F597","International","Retardé"
"F598","International","à l heure"
"F599","International","Retardé"
"F600","International","Retardé"
"F601","International","Retardé"
"F602","International","Retardé"
"F603","National","Retardé"
"F604","International","Annulé"
"F605","International","Retardé"
"F606","International","Annulé"
"F607","International","Retardé"
"F608","International","Retardé"
"F609","International","Annulé"
"F610","International","Annulé"
"F611","International","à l heure"
"F612","International","Retardé"
"F613","International","Annulé"
"F614","International","Annulé"
"F615","International","Annulé"
"F616","International","Annulé"
"F617","International","Retardé"
"F618","International","Annulé"
"F619","International","Retardé"
"F620","International","Retardé"
"F621","International","Retardé"
"F622","International","Annulé"
"F623","International","à l heure"
"F624","International","Annulé"
"F625","International","Retardé"
"F626","International","Retardé"
"F627","International","Retardé"
"F628","International","Retardé"
"F629","International","Annulé"
"F630","International","Retardé"
"F631","International","Annulé"
"F632","International","Retardé"
"F633","International","Annulé"
"F634","International","Annulé"
"F635","International","à l heure"
"F636","International","Annulé"
"F637","International","Retardé"
"F638","International","Retardé"
"F639","International","Annulé"
"F640","International","Retardé"
"F641","International","Retardé"
"F642","International","Annulé"
"F643","International","à l heure"
"F644","International","Annulé"
"F645","International","Annulé"
"F646","International","Retardé"
"F647","International","Annulé"
"F648","International","Retardé"
"F649","International","Retardé"
"F650","International","Annulé"
"F651","International","Retardé"
"F652","International","Retardé"
"F653","International","Retardé"
"F654","International","Annulé"
"F655","International","Retardé"
"F656","International","Retardé"
"F657","International","Retardé"
"F658","International","Retardé"
"F659","International","Annulé"
"F660","International","à l heure"
"F661","International","Retardé"
"F662","International","Annulé"
"F663","International","Retardé"
"F664","International","Annulé"
"F665","International","Retardé"
"F666","International","Retardé"
"F667","International","à l heure"
"F668","International","Annulé"
"F669","International","Retardé"
"F670","International","à l heure"
"F671","International","à l heure"
"F672","International","Retardé"
"F673","International","Annulé"
"F674","International","à l heure"
"F675","International","Retardé"
"F676","International","Retardé"
"F677","International","Retardé"
"F678","International","Retardé"
"F679","International","Annulé"
"F680","International","Annulé"
"F681","International","à l heure"
"F682","International","Annulé"
"F683","International","Retardé"
"F684","International","Annulé"
"F685","National","Annulé"
"F686","International","Retardé"
"F687","International","Annulé"
"F688","International","Retardé"
"F689","International","Annulé"
"F690","International","à l heure"
"F691","International","Annulé"
"F692","International","Retardé"
"F693","International","à l heure"
"F694","International","Retardé"
"F695","International","Annulé"
"F696","International","à l heure"
"F697","International","Annulé"
"F698","International","Annulé"
"F699","International","Annulé"
"F700","International","Annulé"
"F701","International","Annulé"
"F702","International","Annulé"
"F703","International","à l heure"
"F704","National","Retardé"
"F705","International","Retardé"
"F706","International","Annulé"
"F707","International","Annulé"
"F708","International","Annulé"
"F709","International","à l heure"
"F710","International","Annulé"
"F711","International","Annulé"
"F712","International","à l heure"
"F713","International","Annulé"
"F714","International","Annulé"
"F715","International","Retardé"
"F716","International","Annulé"
"F717","International","Retardé"
"F718","International","Retardé"
"F719","International","à l heure"
"F720","International","à l heure"
"F721","International","Annulé"
"F722","International","Retardé"
"F723","International","Retardé"
"F724","International","Retardé"
"F725","International","Retardé"
"F726","International","Retardé"
"F727","National","Annulé"
"F728","International","Annulé"
"F729","International","Annulé"
"F730","International","à l heure"
"F731","International","Retardé"
"F732","International","Annulé"
